paper	citation
781559	1784
781559	1860
781559	1976
781559	2025
781559	2062
781559	2113
781559	2119
781559	2132
781559	2140
781559	2385
781559	2394
781559	2412
781559	2680
781559	2693
781559	2710
781559	2769
781559	2893
781559	2961
781559	2984
781559	3125
781559	3163
781559	3196
781559	3223
781559	3229
781559	3232
781559	3235
781559	3419
781559	3467
781559	3479
781559	641
781559	642
781559	643
781559	644
781559	645
781559	646
781559	647
781559	648
781559	649
781559	650
781559	651
781559	652
781559	653
781559	654
781559	655
781559	656
781559	657
781559	658
162099	3324
162099	3325
162099	3326
162099	3327
162099	3328
162099	3329
162099	3330
162099	3331
162099	3332
162099	3333
40898	760
40898	1865
40898	64
40898	65
40898	66
40898	67
40898	68
40898	69
40898	70
40898	71
40898	72
40898	73
40898	74
40898	75
40898	76
40898	77
40898	78
40898	79
40898	80
492307	368
492307	369
492307	370
492307	371
667065	468
667065	1158
667065	1778
667065	2019
667065	2054
667065	2435
667065	2900
667065	394
667065	395
667065	396
667065	397
667065	398
667065	399
667065	400
667065	401
667065	402
667065	403
667065	404
667065	405
667065	406
667065	407
667065	408
667065	409
667065	410
667065	411
667065	412
667065	413
667065	414
667065	415
667065	416
667065	417
667065	418
667065	419
667065	420
667065	421
667065	422
667065	423
667065	424
667065	425
667065	426
667065	427
694482	356
694482	372
694482	574
694482	602
694482	1162
694482	1190
694482	1222
694482	1557
694482	1574
694482	2079
694482	2145
694482	2692
694482	2709
694482	2719
694482	2862
694482	2930
694482	2935
694482	2988
694482	3234
694482	3466
694482	480
694482	481
694482	482
694482	483
694482	484
694482	485
694482	486
694482	487
694482	488
694482	489
694482	490
694575	514
694575	515
694575	516
694575	517
694575	518
694575	519
694575	520
694575	521
694575	522
694575	523
694575	524
694575	525
694575	526
694575	527
694575	528
694575	529
694575	530
694575	531
694575	532
694575	533
694575	534
694575	535
694575	536
694575	537
694575	538
694578	417
694578	673
694578	694
694578	708
694578	1072
694578	1506
694578	1608
694578	1638
694578	1654
694578	1780
694578	1981
694578	2021
694578	2179
694578	2308
694578	2398
694578	2402
694578	2450
694578	3240
694578	3254
694578	3258
694578	3472
694578	539
694578	540
694578	541
694578	542
694578	543
694578	544
694578	545
694578	546
694578	547
694578	548
803605	2489
803605	671
803605	672
803605	673
803605	674
803605	675
803605	676
803605	677
803605	678
803605	679
803605	680
803605	681
803605	682
803605	683
803605	684
803605	685
803605	686
803605	687
53107	822
53107	2075
53107	2156
53107	2201
53107	2515
53107	2858
53107	2512
53107	2513
302897	823
302897	1065
302897	1890
302897	3371
302897	3105
314865	824
314865	3109
403183	527
403183	765
403183	825
403183	1149
403183	1240
403183	1431
403183	1758
403183	2091
403183	2320
403183	2939
403183	3367
403183	2857
522599	275
522599	826
522599	1035
522599	1305
522599	2235
522599	2276
522599	2285
522599	3108
522599	3113
522599	3354
522599	3388
2187007	830
2187007	2303
2187007	2333
2187007	2980
2187007	3490
576283	1633
576283	1650
576283	2898
576283	1064
576283	1065
576283	1066
576283	1067
576283	1068
576283	1069
576283	1070
576283	1071
576283	1072
576283	1073
576283	1074
576283	1075
576283	1076
576283	1077
576283	1078
576283	1079
576283	1080
576283	1081
576283	1082
695085	1143
695085	1144
695085	1145
695085	1146
695085	1147
695856	1149
695856	1150
695856	1151
695856	1152
695856	1153
402621	412
402621	1102
402621	1765
402621	1775
402621	2016
402621	2690
402621	2921
402621	1463
402621	1464
402621	1465
402621	1466
402621	1467
402621	1468
402621	1469
402621	1470
402621	1471
402621	1472
402621	1473
402621	1474
565674	539
565674	2077
565674	1502
565674	1503
565674	1504
566771	467
566771	806
566771	1070
566771	1632
566771	2177
566771	1505
566771	1506
566771	1507
566771	1508
566771	1509
566771	1510
566771	1511
803759	391
803759	681
803759	718
803759	1789
803759	2031
803759	1587
803759	1588
803759	1589
803759	1590
803759	1591
803759	1592
803759	1593
803759	1594
803759	1595
803759	1596
803759	1597
803759	1598
803759	1599
803759	1600
803759	1601
803759	1602
803759	1603
803762	682
803762	701
803762	719
803762	1599
803762	1660
803762	1704
803762	1604
803762	1605
803762	1606
803762	1607
803762	1608
803762	1609
803762	1610
803762	1611
803762	1612
803762	1613
803762	1614
803762	1615
867091	1664
867091	1631
867091	1632
867091	1633
867091	1634
867091	1635
867091	1636
867091	1637
867091	1638
867091	1639
867091	1640
867091	1641
867091	1642
867091	1643
867091	1644
867091	1645
867091	1646
867091	1647
867091	1648
867091	1649
867098	1650
867098	1651
867098	1652
867098	1653
867098	1654
867098	1655
867098	1656
867098	1657
867098	1658
867098	1659
867098	1660
867098	1661
867098	1662
867098	1663
867098	1664
867098	1665
867098	1666
867098	1667
2404354	366
2404354	371
2404354	427
2404354	490
2404354	548
2404354	585
2404354	611
2404354	622
2404354	687
2404354	704
2404354	724
2404354	1078
2404354	1117
2404354	1147
2404354	1173
2404354	1198
2404354	1225
2404354	1472
2404354	1504
2404354	1511
2404354	1560
2404354	1570
2404354	1578
2404354	1603
2404354	1615
2404354	1647
2404354	1667
2404354	1792
2404354	1868
2404354	1985
2404354	2041
2404354	2087
2404354	2123
2404354	2137
2404354	2149
2404354	2186
2404354	2297
2404354	2319
2404354	2322
2404354	2344
2404354	2400
2404354	2405
2404354	2414
2404354	2423
2404354	2458
2404354	2673
2404354	2895
2404354	2931
2404354	2938
2404354	2942
2404354	2972
2404354	2985
2404354	2991
2404354	3174
2404354	3179
2404354	3238
2404354	3245
2404354	3256
2404354	3266
2404354	3402
2404354	3475
2404354	1751
2404354	1752
2404354	1753
2404354	1754
2404354	1755
2404354	1756
2404354	1757
2404354	1758
2404354	1759
2404354	1760
2404354	1761
2404354	1762
2404354	1763
4225062	1174
4225062	1648
4225062	2066
4225062	2759
4225062	2903
4225062	1771
4225062	1772
4225062	1773
4225062	1774
4225062	1775
4225062	1776
4225062	1777
4225062	1778
4225062	1779
4225062	1780
4225062	1781
4225062	1782
4225062	1783
4225062	1784
4225062	1785
4225062	1786
4225062	1787
4225062	1788
4225062	1789
4225062	1790
4225062	1791
4225062	1792
268779	1502
268779	1865
268779	1866
268779	1867
268779	1868
294126	521
294126	1143
294126	1754
294126	1878
294126	1879
294126	1880
294126	1881
294126	1882
294126	1883
294126	1884
294126	1885
492319	1980
492319	1981
492319	1982
492319	1983
492319	1984
492319	1985
663685	690
663685	1652
663685	1777
663685	2018
663685	2098
663685	2899
663685	2923
663685	3176
663685	2033
663685	2034
663685	2035
663685	2036
663685	2037
663685	2038
663685	2039
663685	2040
663685	2041
694574	2075
694574	2076
694574	2077
694574	2078
694574	2079
694574	2080
694574	2081
694574	2082
694574	2083
694574	2084
694574	2085
694574	2086
694574	2087
695936	2091
695936	2092
695936	2093
695936	2094
781064	388
781064	472
781064	540
781064	677
781064	713
781064	811
781064	2452
781064	3259
781064	2111
781064	2112
781064	2113
781064	2114
781064	2115
781111	369
781111	418
781111	473
781111	541
781111	699
781111	1073
781111	1508
781111	1639
781111	1683
781111	1766
781111	1982
781111	2081
781111	2181
781111	2203
781111	2309
781111	2341
781111	2403
781111	2436
781111	2453
781111	3282
781111	2116
781111	2117
781111	2118
781111	2119
781111	2120
781111	2121
781111	2122
781111	2123
781212	419
781212	542
781212	575
781212	1074
781212	1165
781212	1192
781212	1213
781212	1640
781212	1724
781212	1971
781212	2059
781212	2082
781212	2204
781212	2488
781212	2756
781212	2969
781212	3241
781212	3473
781212	3494
781212	2124
781212	2125
781212	2126
781212	2127
781212	2128
781212	2129
781212	2130
781212	2131
781212	2132
781212	2133
781212	2134
781212	2135
781212	2136
781212	2137
822172	2902
822172	2174
822172	2175
822172	2176
822172	2177
822172	2178
822172	2179
822172	2180
822172	2181
822172	2182
822172	2183
822172	2184
822172	2185
822172	2186
366433	2169
366433	2418
366433	3482
366433	2286
366433	2287
366433	2288
545695	2308
545695	2309
545695	2310
545695	2311
545695	2312
545695	2313
545695	2314
545695	2315
545695	2316
545695	2317
545695	2318
545695	2319
576655	1071
576655	1505
576655	1634
576655	2401
576655	2320
576655	2321
576655	2322
576655	2323
635143	2340
635143	2341
635143	2342
635143	2343
635143	2344
780883	386
780883	470
780883	675
780883	697
780883	711
780883	1594
780883	1609
780883	1656
780883	1699
780883	2111
780883	2451
780883	2927
780883	3002
780883	3041
780883	3189
780883	3204
780883	2383
780883	2384
780883	2385
780883	2386
788262	2310
788262	3243
788262	2398
788262	2399
788262	2400
791600	1509
791600	1643
791600	2311
791600	2401
791600	2402
791600	2403
791600	2404
791600	2405
803730	1787
803730	2029
803730	2313
803730	2407
803730	2408
1403625	1665
1403625	2317
1403625	3264
1403625	2446
1403625	2447
1403625	2448
1403625	2449
1403625	2450
1403625	2451
1403625	2452
1403625	2453
1403625	2454
1403625	2455
1403625	2456
1403625	2457
1403625	2458
196496	2377
196496	3013
196496	3346
196496	2549
196496	2550
217566	706
217566	1587
217566	1604
217566	1694
217566	2097
217566	2996
217566	3202
217566	2562
217566	2564
217566	2565
217566	2566
667979	3024
667979	2661
667979	2662
667979	2663
667979	2664
667979	2665
667979	2666
667979	2667
667979	2668
667979	2669
667979	2670
774055	2688
774055	2689
774055	2690
774055	2691
774055	2692
774055	2693
774055	2694
774055	2695
774055	2696
774055	2697
694571	2934
694571	2935
694571	2936
694571	2937
694571	2938
803915	392
803915	666
803915	683
803915	703
803915	721
803915	1600
803915	1612
803915	1705
803915	2184
803915	2954
803915	3005
803915	3043
803915	3207
803915	2992
803915	2993
803935	722
803935	812
803935	2995
803935	2996
803935	2997
803935	2998
803935	2999
803935	3000
803935	3001
803935	3002
803935	3003
803935	3004
803935	3005
803935	3006
803935	3007
565641	2448
565641	3175
565641	3176
565641	3177
565641	3178
565641	3179
780993	387
780993	471
780993	532
780993	676
780993	698
780993	712
780993	810
780993	1466
780993	1507
780993	1595
780993	1610
780993	1700
780993	1782
780993	2023
780993	2038
780993	2080
780993	2099
780993	2118
780993	2131
780993	2295
780993	2564
780993	2928
780993	3003
780993	3205
780993	3229
780993	3230
788171	1075
788171	1642
788171	3283
788171	3240
788171	3241
788171	3242
788171	3243
788171	3244
788171	3245
803596	477
803596	1657
803596	2312
803596	2437
803596	2454
803596	3261
803596	3253
803596	3254
803596	3255
803596	3256
804039	478
804039	1662
804039	2314
804039	3257
804039	3258
804039	3259
804039	3260
804039	3261
804039	3262
804039	3263
804039	3264
804039	3265
804039	3266
241743	568
241743	1773
241743	2014
241743	2033
241743	2324
241743	2662
241743	3014
241743	3346
241743	3347
241743	3348
241743	3349
565236	368
565236	1144
565236	3401
565236	3402
578303	2665
578303	3413
578303	3414
578303	3415
578303	3416
578303	3417
122475	1139
122475	1300
122475	2217
122475	2358
122475	3106
122475	3110
122475	3386
122475	2520
522255	1140
522255	1515
522255	2150
522255	2764
13059809	1142
13059809	2219
45776	1263
45776	1327
45776	1436
45776	2238
45776	2520
45776	3353
45776	3385
45776	2235
98009	893
98009	918
98009	1264
98009	1621
98009	1690
98009	2246
98009	2446
98009	2474
98009	2982
98009	3316
98009	3317
98009	3318
98009	3319
728872	1268
728872	1328
728872	1744
728872	2355
728872	2618
728872	2100
3892656	1324
3892656	1325
72033	61
72033	560
72033	868
72033	1391
394105	222
394105	481
394105	569
394105	1090
394105	1392
394105	1497
394105	1573
394105	1605
394105	1631
394105	1954
394105	2325
394105	2354
394105	2765
394105	2897
394105	3040
394105	3203
394105	3431
394105	3447
394105	3481
394105	2639
394105	2640
394105	2641
394105	2642
565671	689
565671	1606
565671	2076
565671	1496
565671	1497
565671	1498
565671	1499
565671	1500
349917	2844
349917	1439
349917	1440
349917	1441
349917	1442
349917	1443
349917	1444
349917	1445
349917	1446
349917	1447
349917	1448
349917	1449
349917	1450
349917	1451
349917	1452
349917	1453
349917	1454
349917	1455
349917	1456
349917	1457
349917	1458
349917	1459
208638	1026
208638	1443
208638	2360
208638	2476
208638	2627
208638	2805
208638	3057
208638	3277
4451168	900
4451168	925
4451168	2366
4451168	2510
4451168	2561
4451168	3045
42071	2124
42071	2471
42071	2553
42071	3488
52329	892
52329	916
52329	995
52329	1375
52329	1849
52329	1897
52329	2472
52329	2554
52329	3054
52329	3308
218672	2158
218672	2477
218672	2661
218672	3143
218672	926
218672	927
218672	928
218672	929
218672	930
218672	931
218672	932
218672	933
218672	934
218672	935
218672	936
218672	937
218672	938
218672	939
218672	940
218672	941
218672	942
218672	943
667591	653
667591	897
667591	922
667591	1379
667591	1905
667591	2480
667591	2558
667591	3058
667591	3318
667591	3355
667591	1549
667591	1550
804089	937
804089	1008
804089	1520
804089	1550
804089	1820
804089	2441
804089	2481
804089	2519
804089	2646
804089	3150
2284198	656
2284198	899
2284198	924
2284198	1380
2284198	1853
2284198	1906
2284198	2482
2284198	2560
2284198	3059
2284198	3319
2284198	3356
1268484	1680
1268484	1681
312659	1446
312659	2008
312659	2501
312659	3327
312659	2816
312659	2817
312659	2818
312659	2819
312659	2820
563127	2508
563127	2007
563127	2008
563127	2009
563127	2010
563127	2011
563127	2012
667741	2052
667741	2109
667741	2509
667741	2513
667741	2516
667741	2860
667741	2347
667741	2348
386520	273
386520	1034
386520	1452
386520	2176
386520	2275
386520	2635
386520	2781
386520	2808
386520	2818
386520	3378
386520	2625
386520	2626
386520	2627
386520	2628
386520	2629
386520	2630
767778	696
767778	710
767778	1593
767778	3001
767778	2948
767778	2949
767778	2950
767778	2951
767778	2952
767778	2953
767778	2954
767778	2955
569096	1572
569096	2178
569096	3403
569096	3404
569096	3405
569096	3406
569096	3407
569096	3408
569096	3409
569096	3410
569096	3411
569096	3412
304930	1588
304930	2034
304930	2672
304930	3430
304930	1426
304930	1427
304930	1428
304930	1429
304930	1430
304930	1431
304930	1432
706991	2678
706991	2679
706991	2680
706991	2681
341825	629
341825	763
341825	1539
341825	1925
341825	2390
341825	2541
341825	2843
341825	3370
341825	3371
341825	3372
341825	3373
341825	3374
383296	71
383296	661
383296	2392
383296	2845
383296	3478
383296	1019
383296	1020
383296	1021
383296	1022
383296	1023
383296	1024
383296	1025
383296	1026
383296	1027
383296	1028
383296	1029
383296	1030
383296	1031
383296	1032
383296	1033
383296	1034
383296	1035
383296	1036
6934217	80
6934217	2396
6934217	2849
6934217	3480
6934217	1329
6934217	1330
6934217	1331
856440	2417
856440	3278
856440	3351
856440	3485
32078	60
32078	3342
127832	290
127832	587
127832	725
127832	837
127832	3452
127832	96
127832	97
127832	98
372215	1854
372215	2643
372215	290
372215	291
372215	292
372215	293
372215	294
372215	295
1992594	836
1992594	837
1992594	838
1992594	839
1992594	840
1992594	841
1992594	842
1992594	843
231407	589
231407	1027
231407	1921
231407	2259
231407	3370
231407	1843
231407	1844
231407	1845
231407	1846
231407	1847
231407	1848
133397	588
133397	2524
133397	2525
1329394	2728
1329394	2729
1329394	2730
